peakNO,accession,mz,rt,stats,xref,candidate,exact_mass,theoretical_precursor,precursor_type,structure,Attn_w,nH2O_w,err,Sugar_n,Acid_n,cou,DDMP,fer,hex,hexA,mal,pen,sin,dhex,aglycone,ion1,ion2,ion3,ion4,ion5,glycosyl1,glycosyl2,glycosyl3,glycosyl4,glycosyl5,topMs2
99,,1027.513,0,44 candidates,,2-Hydroxyoleanolic acid,1028.520276,471.34904993,[M-H]-,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CC(C(C(C)(C)C5CCC34C)O)O)C2C1)C(=O)O,628.20620891,72.04225884,1.03604287529849,3,1,0,0,0,2,0,1,0,0,1,False,983.5228 [M-CO2-H]-,879.5189 [M-Mal-H2O-CO2-H]-,941.5154 [M-Mal-H]-,795.4629 [M-dHex-Mal-H]-,,"X-Hex, -Hex-dHex-Mal","X-Hex, -Hex-dHex-Mal","X-Hex-Hex, -dHex-Mal","X-Hex, -Hex-dHex-Mal","X-Hex-Hex, -dHex-Mal",983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Hederagenin,1028.520276,471.34904993,[M-H]-,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(C(C)(CO)C5CCC34C)O)C2C1)C(=O)O,628.20620891,72.04225884,1.03604287529849,3,1,0,0,0,2,0,1,0,0,1,False,983.5228 [M-CO2-H]-,879.5189 [M-Mal-H2O-CO2-H]-,941.5154 [M-Mal-H]-,795.4629 [M-dHex-Mal-H]-,,"X-Hex, -Hex-dHex-Mal","X-Hex, -Hex-dHex-Mal","X-Hex-Hex, -dHex-Mal","X-Hex, -Hex-dHex-Mal","X-Hex-Hex, -dHex-Mal",983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,24-Hydroxy-amyrin,1028.520276,441.37487072,[M-H]-,CC1(C)CCC2(C)CCC3(C)C(=CCC4C5(C)CCC(C(C)(CO)C5CCC34C)O)C2C1,658.18038812,72.04225884,1.03604287529849,3,1,0,0,0,2,1,1,0,0,0,False,983.5228 [M-CO2-H]-,879.5189 [M-Mal-H2O-CO2-H]-,941.5154 [M-Mal-H]-,,,"X-Hex, -Hex-HexA-Mal","X-Hex, -Hex-HexA-Mal","X-Hex-Hex, -HexA-Mal","X-Hex, -Hex-HexA-Mal","X-Hex-Hex, -HexA-Mal",983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Erythrodiol,1028.520276,441.37487072,[M-H]-,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(C(C)(C)C5CCC34C)O)C2C1)CO,658.18038812,72.04225884,1.03604287529849,3,1,0,0,0,2,1,1,0,0,0,False,983.5228 [M-CO2-H]-,879.5189 [M-Mal-H2O-CO2-H]-,941.5154 [M-Mal-H]-,,,"X-Hex, -Hex-HexA-Mal","X-Hex, -Hex-HexA-Mal","X-Hex-Hex, -HexA-Mal","X-Hex, -Hex-HexA-Mal","X-Hex-Hex, -HexA-Mal",983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Sophoradiol,1028.520276,441.37487072,[M-H]-,CC1(C)CC2C3=CCC4C5(C)CCC(C(C)(C)C5CCC4(C)C3(C)CCC2(C)C(C1)O)O,658.18038812,72.04225884,1.03604287529849,3,1,0,0,0,2,1,1,0,0,0,False,983.5228 [M-CO2-H]-,879.5189 [M-Mal-H2O-CO2-H]-,941.5154 [M-Mal-H]-,,,"X-Hex, -Hex-HexA-Mal","X-Hex, -Hex-HexA-Mal","X-Hex-Hex, -HexA-Mal","X-Hex, -Hex-HexA-Mal","X-Hex-Hex, -HexA-Mal",983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Spirostan-3-ol,1028.520276,415.32283527,[M-H]-,NA,684.23242357,72.04225884,1.05128810966905,3,1,0,1,0,3,0,0,0,0,0,False,983.5228 [M-CO2-H]-,,,,,,,,,,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,"Furost-20(22)-en-3,26-diol",1028.520276,415.32283527,[M-H]-,NA,684.23242357,72.04225884,1.05128810966905,3,1,0,1,0,3,0,0,0,0,0,False,983.5228 [M-CO2-H]-,,,,,,,,,,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Sarsasapogenin,1028.520276,415.32283527,[M-H]-,NA,684.23242357,72.04225884,1.05128810966905,3,1,0,1,0,3,0,0,0,0,0,False,983.5228 [M-CO2-H]-,,,,,,,,,,983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Oleanolic acid,1028.520276,455.35413529,[M-H]-,CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(C(C)(C)C5CCC34C)O)C2C1)C(=O)O,644.20112355,72.04225884,1.03604287529849,3,1,0,0,0,3,0,1,0,0,0,False,983.5228 [M-CO2-H]-,879.5189 [M-Mal-H2O-CO2-H]-,941.5154 [M-Mal-H]-,,,"X-Hex, -Hex-Hex-Mal","X-Hex, -Hex-Hex-Mal","X-Hex-Hex, -Hex-Mal","X-Hex, -Hex-Hex-Mal","X-Hex-Hex, -Hex-Mal",983.5228; 984.5259; 985.5114
99,,1027.513,0,44 candidates,,Soyasapogenol E,1028.520276,455.35413529,[M-H]-,CC1(C)CC2C3=CCC4C5(C)CCC(C(C)(CO)C5CCC4(C)C3(C)CCC2(C)C(=O)C1)O,644.20112355,72.04225884,1.03604287529849,3,1,0,0,0,3,0,1,0,0,0,False,983.5228 [M-CO2-H]-,879.5189 [M-Mal-H2O-CO2-H]-,941.5154 [M-Mal-H]-,,,"X-Hex, -Hex-Hex-Mal","X-Hex, -Hex-Hex-Mal","X-Hex-Hex, -Hex-Mal","X-Hex, -Hex-Hex-Mal","X-Hex-Hex, -Hex-Mal",983.5228; 984.5259; 985.5114
